Time,Front POA1 (W/m2),Front POA2 (W/m2),Rear 1 (W/m2),Rear 2 (W/m2),Rear 3 (W/m2),G,W,B,S,Temperature C,Specific Humidity g/kg,Precipitation mm/hour,Relative Humidity %,tcc,tclw,sin_h,cos_h,sin_doy,cos_doy
2025-05-08 10:15:00,682.0404620318369,509.06336111260293,823.054686814275,715.454833863078,835.685192373987,0.0,0.0,1.0,0.0,23.45,8.94,0.55,50.05,11.090086,0.009106129,0.4999999999999999,-0.8660254037844387,0.8064799463209448,-0.5912614448635781
2025-05-08 10:30:00,714.7219292459561,735.2145969117113,874.6818338386614,846.0893099796493,875.3673431145711,0.0,0.0,1.0,0.0,23.45,8.94,0.55,50.05,8.961191,0.009947207,0.4999999999999999,-0.8660254037844387,0.8064799463209448,-0.5912614448635781
2025-05-08 10:45:00,708.8842679398151,787.1419407991388,845.9973560270472,870.1937602788823,906.3255887256162,0.0,0.0,1.0,0.0,23.45,8.94,0.55,50.05,6.8322964,0.010788284,0.4999999999999999,-0.8660254037844387,0.8064799463209448,-0.5912614448635781
2025-05-08 11:00:00,740.6931244741189,785.5939521332663,881.1932748500341,965.2196912292669,873.1487132546255,0.0,0.0,1.0,0.0,24.14,9.01,0.8,48.35,4.7034016,0.011629362,0.258819045102521,-0.9659258262890682,0.8064799463209448,-0.5912614448635781
2025-05-08 11:15:00,730.522940804189,789.7767958533361,880.5631341213701,893.222063648992,892.671656325819,0.0,0.0,1.0,0.0,24.14,9.01,0.8,48.35,4.8744626,0.01446926,0.258819045102521,-0.9659258262890682,0.8064799463209448,-0.5912614448635781
2025-05-08 11:30:00,709.7918549327035,753.0016861710319,859.0802232974588,950.2511935214072,893.3921883797092,0.0,0.0,1.0,0.0,24.14,9.01,0.8,48.35,5.0455236,0.017309159,0.258819045102521,-0.9659258262890682,0.8064799463209448,-0.5912614448635781
2025-05-08 11:45:00,763.8459872388224,795.075629828758,891.638850240397,918.3242036533828,862.6819707729273,0.0,0.0,1.0,0.0,24.14,9.01,0.8,48.35,5.216584,0.020149058,0.258819045102521,-0.9659258262890682,0.8064799463209448,-0.5912614448635781
2025-05-08 12:00:00,731.5620206716545,799.1824304079674,854.5088816090018,866.5441462522641,875.1605204591804,0.0,0.0,1.0,0.0,24.45,9.27,2.05,48.8,5.3876452,0.022988956,1.2246467991473532e-16,-1.0,0.8064799463209448,-0.5912614448635781
2025-05-08 12:15:00,723.7748218483466,781.022662332487,879.440101665552,810.7663539847244,876.5622955865831,0.0,0.0,1.0,0.0,24.45,9.27,2.05,48.8,7.239061,0.026709782,1.2246467991473532e-16,-1.0,0.8064799463209448,-0.5912614448635781
2025-05-08 12:30:00,735.3392061939843,745.1913271725298,854.8724147306375,801.9376392128577,874.7813076406836,0.0,0.0,1.0,0.0,24.45,9.27,2.05,48.8,9.090477,0.030430607,1.2246467991473532e-16,-1.0,0.8064799463209448,-0.5912614448635781
2025-05-08 12:45:00,737.5035138370629,758.6479644278766,835.1610992713167,584.4604775086918,857.6719511293257,0.0,0.0,1.0,0.0,24.45,9.27,2.05,48.8,10.941893,0.034151435,1.2246467991473532e-16,-1.0,0.8064799463209448,-0.5912614448635781
2025-05-08 13:00:00,659.2831438434152,712.9820199200598,810.8503717174771,576.9386119972394,839.7915417051787,0.0,0.0,1.0,0.0,24.75,9.52,2.24,49.21,12.793308,0.03787226,-0.2588190451025208,-0.9659258262890684,0.8064799463209448,-0.5912614448635781
2025-05-08 13:15:00,648.630635556778,709.3545487178618,750.993611283055,479.50454490519854,806.1088661258154,0.0,0.0,1.0,0.0,24.75,9.52,2.24,49.21,16.50629,0.037008457,-0.2588190451025208,-0.9659258262890684,0.8064799463209448,-0.5912614448635781
2025-05-08 13:30:00,592.6102156413647,636.3641814538615,737.1135883720523,893.7066862820157,771.2058598996538,0.0,0.0,1.0,0.0,24.75,9.52,2.24,49.21,20.219273,0.036144655,-0.2588190451025208,-0.9659258262890684,0.8064799463209448,-0.5912614448635781
